,index,Unnamed: 0,Unnamed: 0.1,budget,genres,imdb_id,popularity,release_date,revenue,runtime,vote_average,vote_count,Year,Rated,Runtime,Genre,Country,Ratings,Metascore,imdbRating,imdbVotes
403,530,10414,10414,58800000.0,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",tt2179136,41.498999999999995,2014-12-11,542307423.0,133.0,7.4,9639.0,2014,R,133 min,"Action, Biography, Drama, War",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.3,"432,683"
404,533,10417,10417,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",tt3748528,41.37,2016-12-14,1056057273.0,133.0,7.5,11451.0,2016,PG-13,133 min,"Action, Adventure, Sci-Fi",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65.0,7.8,"542,848"
405,534,10419,10419,5000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt7939428,41.335,2020-03-05,0.0,75.0,5.4,47.0,2020,,74 min,Romance,USA,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",,4.8,549
406,536,10423,10423,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt1590193,41.253,2018-01-11,119942387.0,104.0,6.3,3177.0,2018,PG-13,104 min,"Action, Mystery, Thriller","USA, UK, France, China, Canada","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,6.3,"100,839"
407,537,10424,10424,30000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}]",tt2231253,41.246,2015-01-14,0.0,92.0,5.5,1168.0,2015,R,92 min,"Action, Crime, Drama, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,5.6,"50,228"
408,539,10426,10426,18000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt1478839,41.235,2019-08-08,33766787.0,109.0,8.4,658.0,2019,PG,109 min,"Comedy, Drama, Romance, Sport",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43.0,7.6,"23,324"
409,544,10440,10440,28000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0365907,40.96100000000001,2014-09-18,53181600.0,113.0,6.3,2042.0,2014,R,114 min,"Action, Crime, Drama, Mystery, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,6.5,"111,453"
410,546,10447,10447,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt1137450,40.766,2018-03-02,34017028.0,107.0,6.0,1729.0,2018,R,107 min,"Action, Crime, Drama, Thriller","USA, Canada","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31.0,6.4,"62,106"
411,548,10451,10451,22000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",tt7133686,40.644,2018-09-07,0.0,105.0,7.0,470.0,2018,TV-PG,106 min,"Animation, Action, Adventure, Comedy, Family, Sci-Fi","China, Canada, USA","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,6.6,"13,504"
412,550,10454,10454,40000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt3522806,40.580999999999996,2016-08-25,125729635.0,99.0,5.8,2364.0,2016,R,98 min,"Action, Adventure, Thriller","USA, France, Bulgaria, Germany","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38.0,5.7,"74,917"
413,551,10456,10456,100000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",tt1853728,40.478,2012-12-25,425368238.0,165.0,8.1,19395.0,2012,R,165 min,"Drama, Western",USA,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81.0,8.4,"1,330,096"
414,552,10458,10458,14000000.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",tt2084970,40.445,2014-11-14,233555708.0,113.0,8.0,12760.0,2014,PG-13,114 min,"Biography, Drama, Thriller, War","UK, USA","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,8.0,"672,696"
415,553,10459,10459,30000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",tt6017942,40.442,2018-08-29,10023153.0,102.0,6.1,489.0,2018,PG-13,102 min,"Action, Drama, Sci-Fi, Thriller","USA, Canada","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35.0,5.8,"13,592"
416,554,10460,10460,176000003.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",tt1617661,40.428000000000004,2015-02-04,183987723.0,127.0,5.4,5223.0,2015,PG-13,127 min,"Action, Adventure, Sci-Fi","USA, Australia","[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,5.3,"177,101"
417,556,10464,10464,6000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}]",tt7798634,40.395,2019-08-21,57615777.0,95.0,7.0,2184.0,2019,R,95 min,"Comedy, Horror, Mystery, Thriller","USA, Canada","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,6.8,"101,736"
418,559,10469,10469,16000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",tt7690670,40.298,2018-06-13,20545116.0,107.0,6.8,239.0,2018,R,116 min,"Action, Crime, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,5.1,"6,083"
419,560,10471,10471,36000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",tt1517451,40.264,2018-10-03,433888866.0,136.0,7.5,8679.0,2018,R,136 min,"Drama, Music, Romance",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88.0,7.7,"324,024"
